slots,equipment
MIN2|MIN2,Frogsword|Frogsword
MIN4,Battle Axe|Battle Axe
NORMAL|NORMAL,Divine Dagger+
MAX3,Sneeze|Tetraphobia|Tetraphobia|Tetraphobia|Tetraphobia
MIN3,Crowbar|Blasto|Wind up Fist
MIN2,Grand Finale
MIN2,Earthquake
NORMAL,Key 1|Key 2|Key 3|Key 4|Key 5|Key 6
MAX4,Sword+|Tower Shield
NORMAL,Wall of Flame|Wall of Flame|Wall of Flame
MIN4|REQUIRE6|MIN4,Divine Hammer|Divine Megaphone
MIN4|REQUIRE6|REQUIRE6,Divine Hammer|Divine Megaphone|Very Good Sword
COUNTDOWN_8,Mechanical Leg+
NORMAL,Pirate Hook+|Lucky Star
NORMAL,Infliction|Magic Missile|Magic Spear|Hex
NORMAL,Sword Hilt+|Sword Hilt|Magic Barrier
NORMAL,Freeze Spell|Flame Spell
MIN3,Boomerang|Healing Crystal|Healing Crystal
COUNTDOWN_5,Thunder Storm+|Thunder Storm+|Thunder Storm+
COUNTDOWN_5,Heatwave+|Heatwave+|Heatwave+
COUNTDOWN_5,Snowstorm+|Snowstorm+|Snowstorm+
COUNTDOWN_8,Hurricane+|Hurricane+|Hurricane+
