slots,equipment
MIN2|MIN2,Broadsword
MIN4,Battle Axe|Sword
NORMAL,Dagger|Kunai
MAX3,Sneeze|Tetraphobia|Tetraphobia
MIN3,Blasto
MIN3,Staff
MIN3,Gemstone Staff
MAX4,Sword|Iron Shield
NORMAL,Binary Blast|Ignite
NORMAL,Binary Blast|Cold Wind
NORMAL,Calculator
MAX3,Poison Cloud|Poison Cloud
NORMAL,Pirate Hook
MIN2,Shovel|Hammer
MIN2,Whip|Lament
MIN2,Toxic Ooze|Claw
NORMAL,Flame War|Short Sword
NORMAL,Cold War|Short Sword
NORMAL,System Shock|Short Sword
NORMAL,Sword Hilt|Short Sword
NORMAL,Fireball|Snowball
MIN3,Hedge Clippers
MIN3,Boomerang
